id;first_name;last_name;phone;address
1;Pauline;Mathieu;+33 466254;architecture multi-byte Administrateur
2;Geneviève;Dumont;+33 439233;Market a
3;Scholastique;Leclerc;+33 490750;PNG Kids compressing
4;Suzanne;Lecomte;+33 208388;Corse c e-markets
5;Pascal;Andre;0411490668;Wooden back-end
6;Ysaline;Brun;0218401740;transitional Multi-layered Hryvnia
7;Hortense;Rousseau;0508345327;Chair b
8;Quentin;Mercier;0426714598;overriding migration Plastic
9;Armande;Martin;0360901331;Pants
10;Margot;Vidal;0651279356;Manager metrics
